Kota,Umur,MasaKerja,Gaji,Bonus
Surabaya,27,9,51000,Yes
Jakarta,29,9,48000,Yes
Surabaya,30,5,52000,No
Jakarta,25,5,66000,No
Kediri,48,10,68000,Yes
Kediri,33,8,51000,No
Malang,33,9,69000,No
Jakarta,40,10,79000,Yes
Surabaya,38,8,68000,Yes
Malang,35,8,38000,No
Kediri,28,8,56000,No
Malang,35,8,72000,No
Jakarta,36.5,12,79000,Yes
Surabaya,31,8,85000,No
Malang,37,6,49000,No
Malang,12,6,50000,No
Surabaya,40,11,69000,Yes
Jakarta,95,8,86000,No
Kediri,50,8,68000,Yes
Surabaya,31,8,68000,No
Surabaya,36.5,4,68000,Yes
Kediri,41,6,75000,Yes
Kediri,29,8,70000,No
